repo-name,Display Name,Description,Version,Repo URL
Bulk-Order-Editor,Bulk Order Editor,"Bulk Order Editor for WooCommerce allows store managers to quickly modify multiple orders at once, directly from the WordPress admin panel.",1.0.0,https://github.com/Open-WP-Club/Bulk-Order-Editor
Last-User-Orders-by-Roles,Last User Orders By Roles,"This tool is especially useful for store managers who need to keep track of customer engagement and adjust user roles automatically based on purchasing activity.",1.0.0,https://github.com/Open-WP-Club/Last-User-Orders-by-Roles
StageGuard,StageGuard,"A WordPress plugin designed to clearly indicate that a website is running in a staging environment with a few extensions",1.1.1,https://github.com/Open-WP-Club/StageGuard
WC-Pre-order,WC Pre Order,"WooCommerce Pre-Order Plugin - It checks for a specific promo code on certain products and limits if not applied.",1.0.0,https://github.com/Open-WP-Club/WC-Pre-order
better-user-search,Better User Search,"Improves the search for users in the admin significantly: Search for first name, last, email and much more of users instead of only nicename.",1.0.0,https://github.com/Open-WP-Club/better-user-search
rank-math-automation-wp,Rank Math Automation Wp,"Optimize WooCommerce products for SEO using RankMath",N/A,https://github.com/Open-WP-Club/rank-math-automation-wp
wp-internal-linking,Wp Internal Linking,"WordPress plugin to manage and analyze internal linking in your WordPress website.",1.0.0,https://github.com/Open-WP-Club/wp-internal-linking
resume-builder,Resume Builder,"Display your resume on a WordPress page or post - simple way to manage all the needed information",1.0.0,https://github.com/Open-WP-Club/resume-builder
plugin-hub,Plugin Hub,"Plugin Hub is Open WP Club official way of installing/updating plugins from their official repos.",1.1.0,https://github.com/Open-WP-Club/plugin-hub
wp-sanitize,Wp Sanitize,"WordPress developers and site administrators who need to work with real data without compromising sensitive information",1.1.1,https://github.com/Open-WP-Club/wp-sanitize
WooCommerce-Phone-Number-Validator,WooCommerce Phone Number Validator,"WooCommerce Phone Number Validator is a WordPress plugin that enhances the WooCommerce checkout process by validating phone numbers based on country-specific patterns. It allows store owners to ensure that customers enter valid phone numbers for their respective countries.",1.1.1,https://github.com/Open-WP-Club/WooCommerce-Phone-Number-Validator
eu-vat-wp,Eu Vat Wp,"WordPress EU VAT is a plugin that helps online store owners comply with EU VAT regulations. It collects and validates VAT numbers at checkout, removes VAT charges for eligible EU businesses, and handles EU tax requirements for digital goods.",1.0.0,https://github.com/Open-WP-Club/eu-vat-wp
WP-User-Blocking,WP User Blocking,"WordPress plugin that allows administrators to restrict access to their website for specific users based on email addresses or IP addresses. It provides a customizable block message and offers features such as email export/import functionality and debug mode.",1.1.0,https://github.com/Open-WP-Club/WP-User-Blocking
phone-order-woo,Phone Order Woo," phone-based order creation with Gutenberg blocks and WordPress Interactivity API for WooCommerce stores",2.0.0,https://github.com/Open-WP-Club/phone-order-woo
WP-Historical-Preservation-Mode,WP Historical Preservation Mode,"A lightweight WordPress plugin that helps preserve websites by disabling content modification capabilities while maintaining full read access to all areas of the WordPress admin.",1.0.0,https://github.com/Open-WP-Club/WP-Historical-Preservation-Mode
